name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
윤준호,Bears (KBO),포수,18.03530093,-0.014708542,-0.023041876,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.25,0.25,0.25,0.5,0.23141384,-0.443197119,0.001654143,6.414285714,0.011124219,0.008333333
오선우,Tigers (KBO),1루,-16.47327669,-0.067862692,-0.057446025,5,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.2,0.2,0.2,0.4,0.182678403,-0.787238611,0.001654143,1.414285714,-0.038875781,-0.010416667
장승현,Bears (KBO),포수,39.09138621,-0.099639891,-0.147556557,20,23,4,2,0,0,2,0,0,1,0,5,0,0,1,1,0,0.2,0.272727273,0.3,0.572727273,0.261150722,-1.893723813,-0.639843808,3.461904762,-0.091997952,0.047916667
권동진,Wiz (KBO),2루,41.22570688,-0.021450484,-0.02561715,9,10,2,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0.222222222,0.3,0.222222222,0.522222222,0.264164959,-0.794506589,0.004962429,6.414285714,0.033372657,0.004166667
강승구,Giants (KBO),포수,-145.8241613,-0.052293993,-0.05646066,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.664606601,0,0,0,0.004166667
한승택,Tigers (KBO),포수,176.6189098,0.210672932,0.183589599,9,13,3,0,0,0,4,0,0,0,0,1,0,0,0,2,2,0.333333333,0.538461538,0.333333333,0.871794872,0.455376748,1.346447453,0.011579001,2.842857143,-0.172130467,0.027083333
이명기,Eagles (KBO),지명,-145.8241613,-0.249175974,-0.22584264,7,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,-2.658426404,0,0,0,-0.023333333
김수환,Heroes (KBO),지명,-145.8241613,-0.09344099,-0.08469099,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.996909902,0,0,0,-0.00875
신용석,Dinos (KBO),포수,-145.8241613,-0.052293993,-0.05646066,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.664606601,0,0,0,0.004166667
한재환,Dinos (KBO),3루,-145.8241613,-0.111254654,-0.11292132,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1.329213202,0,0,0,0.001666667
안현민,Wiz (KBO),좌익,63.98336514,0.003315559,0.039565559,25,29,5,0,1,1,2,1,1,0,0,10,0,0,0,5,2,0.2,0.275862069,0.4,0.675862069,0.296304922,-1.411923672,0.009924858,11.0961039,0.347654405,-0.03625
